u,v,length
1827522828,836083090,56.202619104687024
1827522828,476992039,54.120808356685245
833291028,9843232910,32.381210537451516
833291028,498727754,12.241193848529647
1827509805,1827522766,98.64788671325533
1827509805,1827509806,11.59322810791263
544165041,833270984,220.63130473158117
544165041,544165097,38.64460996528973
833270984,6646317622,205.8260617283029
833270984,11027498609,6.904989594082054
544165097,544165094,11.514212254313453
544165061,803874339,22.641703172188265
803874339,2409792081,779.6368274399599
803874339,803874271,32.47619199525365
544165067,544165061,30.75466856623561
544165067,803929546,131.7905065166014
803929546,803885105,15.798166955603277
803929546,8826357783,250.91066807109777
544165073,544165067,23.45560708292313
544165094,544165073,34.75977341024816
544165094,12747520203,262.5027164661445
12747520203,836339849,421.71708344588495
544165164,832672001,13.415333431151542
544165164,832672156,359.49534116410274
832672001,544165164,13.415333431151542
832672001,10994083343,10.68788055450212
832672001,832672079,234.93921979628163
832672156,832671942,18.06037236169953
832672156,832672130,8.38808164552519
544165333,1827509741,76.46871840442637
544165333,1827522708,66.1654739744228
544165333,11027355580,13.47984709158331
1827522708,544165333,66.1654739744228
1827522708,11027355579,14.313752765258124
1827522708,832672125,276.2567529285545
11027355580,544165333,13.47984709158331
544165354,10047814941,12.023288168459882
544165354,836074187,211.5569326884085
836074187,6438720831,11.754728782654022
836074187,836074278,242.70529006591124
544174044,9855412309,16.720554056482793
544174044,9855412293,81.36147452822256
9855412309,9855412297,18.60875332251761
9855412309,1817401862,290.32016932027716
9855412293,9855412292,10.360322667810953
9855412293,9855412289,87.75826287883504
6640044389,568266372,9.370416564164339
6640044389,6640044388,11.876123233910368
6640044389,6639995379,213.76279060053034
568285980,799242058,99.59876189936912
568285980,11250416665,19.67358986939528
568285980,6191974706,586.9836754067716
799242058,568285980,99.59876189936912
799242058,6998029041,81.18047604861229
799242058,1870123587,632.4553611820426
11250416665,568285980,19.67358986939528
11250416665,1817401896,16.163943703678832
6191974706,6191974705,56.10104273020689
6191974706,568285980,586.9836754067716
6191974706,3832409832,101.19466806480946
571762487,3832408575,9.769470101917632
571762487,9821710016,408.0254066432712
3832408575,4415003672,15.448924439095519
3832408575,1817400634,144.88956495707993
9821710016,4932314432,1448.398239606536
9821710016,9822097998,94.16963272616672
670710795,3891693503,11.973152553713348
670710795,841516179,262.34936927208804
3891693503,841515932,167.40808933756006
3891693503,9843255226,6.4887112153502935
841516179,3891693502,9.160171945213412
841516179,841515873,211.41605524012684
712869258,799268951,64.71635135330554
712869258,9625462632,176.40518734113505
799268951,799269325,16.786899509889064
9625462632,712869258,176.40518734113508
9625462632,9622953955,187.5561471652629
9625462632,9865506888,136.48750139939347
712869283,853985617,29.58399545274598
712869283,799241709,11.60531797511477
853985617,853985972,16.630708240679134
853985617,9852805978,243.5206186524974
799241709,799241962,140.03470459454397
799241709,1817400408,89.9475171059793
799241709,712869283,11.60531797511477
712889006,802332429,166.700192265944
712889006,1817400314,231.74401962729678
712889006,1817400314,511.02675488163203
802332429,712889006,166.700192265944
802332429,802332830,373.7226945865665
1817400314,1817400329,187.48108374298752
1817400314,712889006,231.74401962729678
1817400314,712889006,511.026754881632
712889246,802358386,13.14890058712682
712889246,9852805963,167.62560841122513
712889246,11024684595,84.10987878504251
802358386,712889246,13.14890058712682
802358386,9852805977,25.43617182625745
802358386,802357912,110.45602407276822
9852805963,802357918,15.448489627280653
9852805963,712889246,167.6256084112251
9852805963,9852805970,39.75713123634327
11024684595,11024684599,41.273342270058095
11024684595,9852805974,15.222590849877566
11024684595,712889246,84.10987878504251
712889271,9852805974,84.8290421952982
9852805974,9852805975,84.74167636415591
9852805974,11024464756,73.97510824894158
9852805974,712889271,84.8290421952982
9852805974,11024684595,15.222590849877566
787112250,4247508275,13.120411461238177
787112250,12747158805,7.600696942906501
787112250,11925199153,932.4064980467666
4247508275,787112250,13.120411461238177
12747158805,787112250,7.600696942906501
12747158805,12747158809,57.492710562033096
12747158805,12814018344,57.09319096089165
11925199153,1007396555,21.591580127260716
11925199153,11925199154,88.96509400059566
11925199153,787112250,932.4064980467667
799241668,4685422940,315.90691277290887
799241668,6192951370,47.139331850234534
4685422940,4685422934,757.0554782340037
4685422940,4685422937,156.60563002164434
6192951370,799268868,184.5368020078136
6192951370,799249229,777.5395724073462
799241699,799242061,96.54283446591646
799241699,799268660,272.1845966809991
799242061,9852968842,32.976819758289956
799242061,799269086,37.314586193787044
799268660,4685422941,424.66319406390164
799268660,799241699,272.1845966809991
799241962,9852370489,184.1156121082413
1817400408,799241709,89.9475171059793
1817400408,11143583828,77.53208351489249
1817400408,3735973849,526.8878756999876
1817400408,799241962,166.00129765382997
799241726,799269129,113.25843048536944
799241726,799241873,112.932728690344
799269129,799269362,32.6334982329269
799269129,799242007,227.3421869475285
799241873,3735973848,13.591792134257203
799241873,799269362,55.03718959636474
799241750,4685422936,51.90939831227496
4685422936,799241778,307.8630365681989
4685422936,4685422934,88.42884966420453
799241757,799241795,378.54991427624134
799241795,3735973846,657.3621135035643
799241795,853985616,223.60754669710096
799241765,3809143653,72.11474543602975
3809143653,3809143655,21.073702352163032
3809143653,6630855788,49.99781461745434
799241778,802331805,99.65687970418364
799241778,8129660368,851.2654477112211
802331805,802331949,15.222015059306448
802331805,799241778,99.65687970418365
802331805,3735973841,330.4359191900942
8129660368,799268638,60.92614408861421
3735973846,6636689769,243.20889536081458
853985616,853985733,16.719784335742872
799241823,3735973848,175.90361156716304
799241823,799241750,125.7769333886905
3735973848,799241873,13.591792134257203
3735973848,3735973856,403.05588561233196
799241844,1817400390,18.805396985554253
799241844,1007395306,572.1022315365428
799241844,9852968842,37.17141420996254
1817400390,3752717700,54.65742868139887
1817400390,799241844,18.805396985554253
1817400390,799241757,717.0623318905389
1007395306,1007395980,294.37861029903326
9852968842,799269086,21.230450501183093
9852968842,799241844,37.17141420996254
799269362,799269111,65.48645229092462
799269362,799241873,55.03718959636475
799241939,1007395388,542.29599810354
799241939,1817400348,242.28155983290594
1007395388,1817400390,590.128388672935
1817400348,9852860986,206.32594868474033
1817400348,1817400349,11.319990694372365
1817400348,1817400353,485.4021349038487
9852370489,9852370488,10.387575814323053
9852370489,1817400466,58.32355951225344
799241980,8113491069,112.4201292015236
799241980,8113491074,63.047782721352746
8113491069,802981343,227.05640054527618
8113491074,8113491070,27.789282385720092
799241992,799241939,367.41603744367166
799242007,799241750,43.40889301577529
799242007,799269111,135.83252880791767
799269111,799269362,65.48645229092462
799269111,799269086,97.54774371814578
799269111,799242007,135.8325288079177
799242036,799241699,398.75432689970575
799242036,1007395306,71.86957736238028
6998029041,799241980,526.4401777295914
1870123587,799242058,632.4553611820426
799269086,799269111,97.54774371814578
799269086,799268660,143.56582447759047
799269086,9852968842,21.230450501183093
799242076,1819560486,25.389631793948936
799242076,4685422851,103.90756060313782
1819560486,799242076,25.389631793948936
1819560486,1819560480,60.063700700098316
1819560486,6095246009,539.837871608301
4685422851,1987285408,65.08995183651308
4685422851,4685422838,109.39643355183168
799249209,8129660331,34.5347761166286
799249209,8129660364,34.95555528139372
799249209,8129660363,8.243051656665024
8129660331,8129660325,14.05581694408987
8129660331,8129660364,48.08327115281216
8129660364,799249258,72.04494732512867
8129660363,8129660338,31.49409291135481
8129660363,799249209,8.243051656665024
8129660363,8129660358,40.38249403790004
799249229,6095246000,85.41084596174083
799249229,6192951370,777.5395724073462
6095246000,6095246009,44.012515382021434
6095246000,6095245996,38.89669456607291
799249258,9832229501,59.78293854303986
9832229501,802332579,14.444483570050306
9832229501,1817400234,195.12494783686662
799268638,802332923,56.48025877414748
799268638,799268865,16.046734869127533
802332923,802332678,13.727123798240571
802332923,1817400361,726.0101139371279
799268865,1987285395,64.74634925563092
799268639,308729333,11.239556451358734
